kind,record_key,label,year_start,year_end,edition,link
instrument-fate,"transmission-1609, July",An imperial rescript on the heirs' claim states that the instruments and books 'remain in this Crown of Bohemia'. When the Curtius house changes hands the instruments return to the Belvedere.,1609,1609,Instrumenta,../instrumenta/index.html#sec-transmission
reception,recep-astronomia-nova,Astronomia Nova (1609) — the elliptical orbit of Mars,1609,1609,Receptio,../receptio/index.html#recep-astronomia-nova
likeness,icon-kageroed-epitaph,"The Kågeröd epitaph, 1613 — Tycho kneeling among his parents' children",1613,1613,Iconographia,../iconographia/index.html#icon-kageroed-epitaph
instrument-fate,transmission-1619,"Destruction in the disturbances that followed the death of Emperor Matthias, when Prague was held for Frederick of the Palatinate: some instruments converted to other uses, the rest destroyed or dispersed (Gassendi, Vita, 1655, p. 216). The version that attaches the loss to the battle of the White Mountain, 8 November 1620, is a misreading of Gassendi.",1619,1619,Instrumenta,../instrumenta/index.html#sec-transmission
instrument-fate,"transmission-1621, 6 December","The inventory of the Prague treasury and Kunstkammer still lists, in the Belvedere, 'no. 1424, a very large celestial globe of metal' and 'no. 1425, a quadrant with many appurtenant instruments'.",1621,1621,Instrumenta,../instrumenta/index.html#sec-transmission
reception,recep-longomontanus-danica,"Longomontanus, Astronomia Danica (1622) — the Tychonic textbook",1622,1622,Receptio,../receptio/index.html#recep-longomontanus-danica
likeness,icon-console-clock-1642,The 1642 console clock — Tycho as proprietor of a world system,1623,1642,Iconographia,../iconographia/index.html#icon-console-clock-1642
instrument-fate,transmission-c. 1625,The globe is acquired by Christoph Scheiner for the Jesuit college at Neisse in Silesia.,1625,1625,Instrumenta,../instrumenta/index.html#sec-transmission
reception,recep-rudolphine,The Rudolphine Tables (1627),1627,1627,Receptio,../receptio/index.html#recep-rudolphine
instrument-fate,transmission-1632,"Prince Ulrik, son of Christian IV, takes the globe from Neisse as war booty to Copenhagen, where it is placed in the observatory of the Round Tower.",1632,1632,Instrumenta,../instrumenta/index.html#sec-transmission
reception,recep-rundetaarn,"The Round Tower (Rundetårn), Copenhagen — Tycho's catalogue continued",1637,1728,Receptio,../receptio/index.html#recep-rundetaarn
instrument-fate,transmission-1648–1650,The Swedish removal of Rudolf II's collections leaves the two large iron sextants behind; the Castle Armoury inventory of 1650 lists them.,1648,1648,Instrumenta,../instrumenta/index.html#sec-transmission
reception,recep-crater-tycho,The lunar crater Tycho,1651,,Receptio,../receptio/index.html#recep-crater-tycho
likeness,icon-gassendi-frontispiece,The Gassendi Vita frontispiece (1655) — the portrait's afterlife,1654,1655,Iconographia,../iconographia/index.html#icon-gassendi-frontispiece
reception,recep-gassendi-vita,"Gassendi, Tychonis Brahei vita (1654)",1654,1654,Receptio,../receptio/index.html#recep-gassendi-vita
reception,recep-observations-opera-omnia,The observation archive → Copenhagen → the Opera Omnia,1655,1929,Receptio,../receptio/index.html#recep-observations-opera-omnia
likeness,icon-kilian-standing,Kilian's standing Tycho (1666) — a whole body invented around a borrowed head,1658,1666,Iconographia,../iconographia/index.html#icon-kilian-standing
reception,recep-blaeu-atlas-1664,Joan Blaeu’s Grooten Atlas — Tycho’s instruments in colour for a vernacular public (1664),1664,1664,Receptio,../receptio/index.html#recep-blaeu-atlas-1664
reception,recep-historia-coelestis-1666,Historia Coelestis (Augsburg 1666) — the observations first in print,1666,1666,Receptio,../receptio/index.html#recep-historia-coelestis-1666
instrument-fate,"transmission-1672, 18 May",The English legation secretary Henshaw reports that 'Tycho Brahe's instruments were long ago sold to brass-founders'.,1672,1672,Instrumenta,../instrumenta/index.html#sec-transmission
instrument-fate,transmission-1728,"The globe burns in the Round Tower fire; the wooden body is consumed and the brass melts, leaving some lumps, the meridian ring, iron rings and the axle, since lost.",1728,1728,Instrumenta,../instrumenta/index.html#sec-transmission
instrument-fate,transmission-c. 1780,"The Prague observatory's earliest inventory lists 'No. 4, a large sextant of Tycho Brahe, made in the year 1600 by Erasmus Habermel' and 'No. 5, a smaller sextant of Tycho Brahe, which he brought with him to Prague'.",1780,1780,Instrumenta,../instrumenta/index.html#sec-transmission
instrument-fate,transmission-1782,"At Joseph II's auction of the Castle collections the two sextants are sold to Franz Leonard Herget, public teacher of mechanics and hydraulics.",1782,1782,Instrumenta,../instrumenta/index.html#sec-transmission
likeness,icon-eckersberg-1831,"Eckersberg's sketch, 1831 — the young Christian IV visiting Hven",1831,1842,Iconographia,../iconographia/index.html#icon-eckersberg-1831
reception,recep-comet-recomputation-19c,Tycho's comets recomputed — the 19th-century orbit reductions (1854),1844,1854,Receptio,../receptio/index.html#recep-comet-recomputation-19c
instrument-fate,transmission-1852,"The Prague observatory sells discarded instruments; the 'Tychonic' pieces among them, a sundial inscribed 'Insula Heveen A.D. 1578' and a planetarium engraved 'Ty. de Brahe', are forgeries, bought by the painter Gabriel Max and given in 1909 to the Deutsches Museum in Munich.",1852,1852,Instrumenta,../instrumenta/index.html#sec-transmission
likeness,icon-levy-mindeblad,The Levy memorial sheet — Tycho for children,1855,1901,Iconographia,../iconographia/index.html#icon-levy-mindeblad
likeness,icon-hansen-1882,"Heinrich Hansen, 1882 — Tycho as national history painting",1882,1882,Iconographia,../iconographia/index.html#icon-hansen-1882
reception,recep-dreyer-biography-1890,"Dreyer, Tycho Brahe (Edinburgh 1890) — the foundational biography",1890,1890,Receptio,../receptio/index.html#recep-dreyer-biography-1890
instrument-fate,transmission-1901,"Weinek publishes the two Prague sextants, with plates.",1901,1901,Instrumenta,../instrumenta/index.html#sec-transmission
reception,recep-exhumation-1901,The 1901 exhumation (the tercentenary),1901,1901,Receptio,../receptio/index.html#recep-exhumation-1901
reception,recep-opera-omnia,Tychonis Brahe Opera Omnia (Copenhagen 1913–29) — the complete critical edition,1913,1929,Receptio,../receptio/index.html#recep-opera-omnia
site,site-museum,Tycho Brahe Museum & the Stjerneborg reconstruction,1950,2025,Loca,../loca/index.html#site-museum
reception,recep-zeeberg-urania-titani,"Zeeberg, Urania Titani (1994) — first critical edition of Tycho’s Latin poetry",1994,1994,Receptio,../receptio/index.html#recep-zeeberg-urania-titani
reception,recep-living-data,The data still in use — SN 1572 and the star catalogue,2004,,Receptio,../receptio/index.html#recep-living-data
reception,recep-exhumation-2010,The 2010 exhumation & the death question,2010,2012,Receptio,../receptio/index.html#recep-exhumation-2010
