specimen_key,date,specimen,type,registers,life_stage,autograph_class,verdict,grade,status,holding,city,shelfmark,catalogue_record,surrogates,census_copy
bodleian-mechanica-grimani,1600,Mechanica (1598) dedicated to Doge Marino Grimani of Venice — autograph signature (1600),presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",probable,B,extant,Bodleian Library,Oxford,Arch. Bodl. D. 32,https://web.archive.org/web/20260305203258/https://www.cabinet.ox.ac.uk/tycho-brahes-autograph-verses-presentation-doge-venice,https://web.archive.org/web/20260305203258/https://www.cabinet.ox.ac.uk/tycho-brahes-autograph-verses-presentation-doge-venice,brahe-mechanica-1598-wandsbek/bodleian-arch-bodl-d-32
copenhagen-kb-ln-432-copy4-dedication,1600,"Mechanica (1598) presentation copy — autograph dedication to Grand Duke of Tuscany (Ferdinand I de' Medici, 1549–1609)",presentation inscription,dedication inscription,Exile / late,autograph signature only,probable,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,LN 432 2°,,,brahe-mechanica-1598-wandsbek/copenhagen-kb-ln-432-copy4
duodo-dedication-1600,1600,"Prague dedication to Pietro Duodo (Venetian ambassador), 1600 — candidate fully-autograph presentation dedication",presentation inscription,"formal presentation, dedication inscription",Exile / late,wholly autograph,probable,B,known only from a photograph,unknown (known only from a photograph),,,,,brahe-mechanica-1598-wandsbek/market-sotheby-1985-duodo
oslo-deichmanske-mosbach-dedication,1600,"Mechanica (1598) presentation copy — autograph dedication to Samuel Mosbach, chancellor of Duke Friedrich Wilhelm of Sachsen-Altenburg",presentation inscription,dedication inscription,Exile / late,autograph signature only,probable,B,extant,"Deichmanske Bibliotek, Oslo",Oslo,(not yet retrieved),,,brahe-mechanica-1598-wandsbek/oslo-deichmanske-mosbach
vienna-onb-cod-10688-17,1600,"Vienna, ÖNB, Cod. 10688/17 — 'Calculi miscelli, observationes, pericula' (1600); autograph-plausible working computations",manuscript,observation log,Exile / late,partly autograph,possible,C,extant,Österreichische Nationalbibliothek,Vienna,Cod. 10688/17 HAN MAG,https://data.onb.ac.at/rec/AC13961695,https://viewer.onb.ac.at/1322BF79; https://api.onb.ac.at/iiif/presentation/v3/manifest/1322BF79; https://api.onb.ac.at/iiif/presentation/v3/manifest/1322BF79,
vienna-onb-mechanica-coraduz,1600,Mechanica (1598) dedicated to Vice-Chancellor Rudolf Coraduz (Corraducius) — autograph signature (1600),presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",probable,B,extant,Österreichische Nationalbibliothek,Vienna,Handschriftensammlung (ex Hasselberg 21),,,brahe-mechanica-1598-wandsbek/vienna-onb-h21
vienna-onb-mechanica-matthias,1600,Mechanica (1598) dedicated to Archduke (later Emperor) Matthias — autograph signature (1600),presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",probable,B,extant,Österreichische Nationalbibliothek,Vienna,Handschriftensammlung (ex Hasselberg 20),,https://viewer.onb.ac.at/117C453E; https://api.onb.ac.at/iiif/presentation/v3/manifest/117C453E,brahe-mechanica-1598-wandsbek/vienna-onb-h20
cambrai-mechanica-lobkowitz,1600-08-08,"Mechanica (1598) dedicated to Zdeněk Vojtěch Popel von Lobkowitz, Bohemian chancellor — autograph signature (1600-08-08)",presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",probable,B,extant,Bibliothèque d'agglomération de Cambrai,Cambrai,XVI B 3,https://gallica.bnf.fr/ark:/12148/bd6t52539608,https://gallica.bnf.fr/ark:/12148/bd6t52539608,brahe-mechanica-1598-wandsbek/cambrai-xvi-b-3
copenhagen-kb-ln-432-copy3-dedication,1600-09-18,"Mechanica (1598) presentation copy — autograph dedication to Peter Vok Ursini Rosenberg (Petr Vok z Rožmberka, 1539–1611), Bohemian magnate",presentation inscription,dedication inscription,Exile / late,autograph signature only,probable,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,LN 432 2°,,,brahe-mechanica-1598-wandsbek/copenhagen-kb-ln-432-copy3
prague-nm-krivoklat-pruskowski,1601-03-12,"Křivoklát Castle (Národní muzeum), III-a-18/1693 — Mechanica (1598) dedicated to U.D. Pruskowski, autograph signature (12 Mar 1601)",presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",secure,A,extant,Národní muzeum / Křivoklát Castle library,Křivoklát,III-a-18/1693,,,brahe-mechanica-1598-wandsbek/prague-narodni-muzeum-pruskovsky
